ifl, 2020-05-07, 4.24, 4.23, 4.27, 4.16, 703860
bin, 2020-05-07, 2.07, 2.05, 2.11, 2.02, 4990192
tyr, 2020-05-07, 2.99, 3.05, 3.1, 2.93, 2515272
ivc, 2020-05-07, 10.39, 10.44, 10.46, 10.2, 562215
gor, 2020-05-07, 1.58, 1.575, 1.59, 1.525, 10644423
eld, 2020-05-07, 9.07, 9.11, 9.19, 8.99, 667069
tlt, 2020-05-07, 3, 3, 3, 3, 326
sgm, 2020-05-07, 6.79, 6.69, 6.81, 6.65, 380788
ppt, 2020-05-07, 28.99, 28.76, 29.22, 28.34, 154357
wam, 2020-05-07, 1.89, 1.86, 1.895, 1.86, 193376
aiz, 2020-05-07, 1.18, 1.165, 1.18, 1.15, 2012617
nsr, 2020-05-07, 1.58, 1.585, 1.605, 1.572, 4671596
bkl, 2020-05-07, 76, 77.34, 78.13, 75.95, 46989
vuk, 2020-05-07, 1.415, 1.445, 1.475, 1.395, 6804232
ctd, 2020-05-07, 11.7, 12.08, 12.68, 11.38, 1220259
snz, 2020-05-07, 5.7, 5.74, 5.74, 5.7, 700
fnp, 2020-05-07, 4.34, 4.51, 4.55, 4.34, 393305
sul, 2020-05-07, 6.09, 6.25, 6.25, 5.92, 712108
lyc, 2020-05-07, 1.79, 1.785, 1.805, 1.735, 7285010
evt, 2020-05-07, 7.5, 7.43, 7.53, 7.43, 101288
ing, 2020-05-07, 3.23, 3.22, 3.27, 3.2, 1401941
pph, 2020-05-07, 5.7, 6.04, 6.13, 5.68, 1276636
mxt, 2020-05-07, 1.87, 1.885, 1.9, 1.865, 636065
bvs, 2020-05-07, 4.87, 4.73, 4.89, 4.7, 981711
arb, 2020-05-07, 14.49, 14.88, 14.88, 14.26, 195335
zel, 2020-05-07, 2.97, 2.94, 3.01, 2.93, 158902
zim, 2020-05-07, 10.37, 10.54, 10.7, 9.07, 16676
sm1, 2020-05-07, 6.53, 6.65, 6.73, 6.49, 67831
nhc, 2020-05-07, 1.42, 1.44, 1.45, 1.4, 2500717
cda, 2020-05-07, 6.61, 6.88, 7.08, 6.47, 813863
pru, 2020-05-07, 1, 0.99, 1.02, 0.985, 3408950
vhy, 2020-05-07, 45.71, 45.58, 45.99, 45.57, 27066
cgc, 2020-05-07, 2.87, 2.82, 2.915, 2.8, 1886886
ina, 2020-05-07, 3.7, 3.61, 3.7, 3.585, 2106978
iaf, 2020-05-07, 116.02, 115.92, 116.03, 115.89, 17778
ape, 2020-05-07, 4.5, 4.56, 4.61, 4.4, 1603111
cuv, 2020-05-07, 23.1, 24.1, 24.13, 22.87, 199539
crn, 2020-05-07, 1.145, 1.1, 1.145, 1.055, 314402
jhg, 2020-05-07, 27.88, 27.53, 27.88, 27.4, 334030
bga, 2020-05-07, 5, 5, 5.06, 4.85, 577881
cip, 2020-05-07, 2.62, 2.62, 2.69, 2.61, 1222836
urw, 2020-05-07, 4.21, 4.14, 4.22, 4.12, 1205121
rms, 2020-05-07, 1.34, 1.375, 1.385, 1.325, 3752011
eml, 2020-05-07, 3.08, 3.2, 3.24, 3.01, 6841497
asb, 2020-05-07, 2.84, 2.82, 2.89, 2.795, 2264017
umg, 2020-05-07, 3.97, 4.1, 4.1, 3.94, 668558
z1p, 2020-05-07, 2.83, 2.86, 3, 2.7, 11589265
rsg, 2020-05-07, 0.915, 0.935, 0.947, 0.902, 11309976
cof, 2020-05-07, 1.9, 1.86, 1.907, 1.84, 1255403
bki, 2020-05-07, 1.365, 1.365, 1.365, 1.34, 157269
ccp, 2020-05-07, 14.64, 14.28, 14.74, 14.13, 904142
avn, 2020-05-07, 1.68, 1.7, 1.775, 1.68, 663382
mvw, 2020-05-07, 24.74, 24.64, 24.79, 24.58, 55246
obl, 2020-05-07, 3.98, 3.99, 4.11, 3.89, 891071
avh, 2020-05-07, 0.435, 0.46, 0.467, 0.425, 14564144
aui, 2020-05-07, 7.69, 7.74, 7.74, 7.69, 14752
web, 2020-05-07, 2.74, 2.68, 2.74, 2.65, 4004435
mnd, 2020-05-07, 9.94, 10.09, 10.18, 9.755, 336149
ckf, 2020-05-07, 7.7, 7.76, 7.76, 7.48, 501201
cia, 2020-05-07, 1.85, 1.865, 1.91, 1.825, 419004
